vessel,service,ata,atb,ats,liner,berth window,berth,berth status
BLACKPOOL TOWER 001S,EXTRA CALL,29/08/18 11:22,29/08/18 14:48,30/08/18 18:37,MAE,EXTRA CALL,1,OUT
MSC ADELAIDE MM 833R,WMED,30/08/18 02:30,30/08/18 04:23,31/08/18 02:04,MSC,28/08/2018 01:00,2,OUT
YM ANTWERP XA 833A,EXTRA CALL,30/08/18 18:00,30/08/18 22:40,01/09/18 06:44,MSC,EXTRA CALL,3,OUT
MAERSK SHAMS 827E,IPANE-ASAS,31/08/18 02:00,31/08/18 06:07,01/09/18 17:55,MAE,30/08/2018 13:00,1,OUT
MSC MARTA UA 834R,USA-STRING,31/08/18 07:00,01/09/18 05:04,02/09/18 02:24,MSC,31/08/2018 19:00,2,IN
MAERSK LOTA 1809,NEO BOSSA,31/08/18 12:40,01/09/18 10:05,02/09/18 10:40,MAE,01/09/2018 01:00,3,IN
MAERSK LABERINTO 1810,NEO BOSSA,01/09/18 23:00,02/09/18 01:45,02/09/18 21:15,MAE,02/09/2018 01:00,1,IN
MSC SAO PAULO XA 827A,EXTRA CALL,30/08/18 08:18,02/09/18 07:10,03/09/18 07:15,MSC,EXTRA CALL,2,OUT
CSAV TRAIGUEN MM 831A,WMED,01/09/18 15:30,02/09/18 14:20,03/09/18 15:10,HLC,29/08/2018 07:00,3,OUT
SEBASTIAO CABOTO 053S,ALCT2,02/09/18 21:00,03/09/18 00:53,03/09/18 14:45,ALI,31/08/2018 13:00,1,OUT
MSC MARGARITA UA 832A,USA-STRING,03/09/18 06:00,03/09/18 13:05,04/09/18 14:45,MSC,03/09/2018 07:00,2,IN
UASC AL KHOR NA 834R,NWC1,03/09/18 17:00,03/09/18 20:10,06/09/18 01:01,HLC,30/08/2018 07:00,1,OUT
MAERSK LAGUNA 830W,IPANE-ASAS,03/09/18 17:30,03/09/18 21:00,05/09/18 13:10,MAE,02/09/2018 01:00,3,OUT
MSC AJACCIO MM 832A,WMED,04/09/18 21:30,05/09/18 23:55,06/09/18 20:17,MSC,05/09/2018 07:00,2,IN
UASC ZAMZAM NA 832A,NWC1,04/09/18 21:00,06/09/18 05:14,07/09/18 09:20,HLC,04/09/2018 19:00,1,OUT
MAERSK LEON 828E,IPANE-ASAS,05/09/18 00:40,06/09/18 08:00,07/09/18 23:00,MAE,06/09/2018 13:00,3,IN
MSC PALAK NA 835R,NWC1,06/09/18 06:30,07/09/18 00:31,07/09/18 21:08,MSC,06/09/2018 07:00,2,IN
LOG-IN RESILIENTE 048N,VITORIA,03/09/18 19:40,07/09/18 18:30,08/09/18 17:20,MSC,08/09/2018 19:00,1,IN
CMA CGM RIO GRANDE 0NS13S1MA,NEO BOSSA,07/09/18 22:18,08/09/18 07:55,09/09/18 10:15,CMA,08/09/2018 01:00,2,IN
MAERSK LAMANAI 1810,NEO BOSSA,08/09/18 00:00,08/09/18 15:25,09/09/18 23:20,MAE,09/09/2018 01:00,3,IN
PEDRO ALVARES CABRAL 052S,ALCT2,08/09/18 06:00,09/09/18 13:20,09/09/18 23:40,ALI,07/09/2018 13:00,2,OUT
