vessel,service,ata,atb,ats,liner,berth window,berth,berth status
MSC MARIANNA UA 845R,USA-STRING,15/11/18 19:42,16/11/18 03:00,16/11/18 20:40,MSC,16/11/2018 19:00,3,IN
CMA CGM LITANI 0NS1NS1MA,NEO BOSSA,16/11/18 16:00,16/11/18 17:40,17/11/18 07:45,CMA,17/11/2018 01:00,1,IN
STELLAR WILLEMSTADT 056N,VITORIA,16/11/18 01:00,17/11/18 13:15,18/11/18 05:40,MSC,17/11/2018 19:00,3,IN
MAERSK LEON 841W,IPANE-ASAS,17/11/18 17:00,17/11/18 18:29,18/11/18 17:36,MAE,18/11/2018 01:00,1,IN
CMA CGM RIO GRANDE 0NS1KN1MA,NEO BOSSA,17/11/18 03:12,17/11/18 12:05,19/11/18 12:40,CMA,18/11/2018 01:00,2,IN
CONTI LYON UA 843A,USA-STRING,19/11/18 05:30,19/11/18 07:05,20/11/18 00:10,MSC,19/11/2018 07:00,1,IN
MSC VITA MM 845R,WMED,19/11/18 19:00,19/11/18 20:21,20/11/18 15:43,MSC,20/11/2018 01:00,2,IN
UASC UMM QASR NA 843A,NWC1,20/11/18 06:00,20/11/18 08:30,21/11/18 04:15,HLC,20/11/2018 19:00,1,IN
MSC AGADIR MM 843A,WMED,21/11/18 01:00,21/11/18 03:00,21/11/18 16:44,MSC,21/11/2018 07:00,2,IN
MONTE SARMIENTO 088S,ALCT2,21/11/18 14:00,21/11/18 15:44,21/11/18 23:20,ALI,21/11/2018 19:00,1,IN
RIO MADEIRA 1802,EXTRA CALL,22/11/18 07:30,22/11/18 09:05,23/11/18 07:36,MAE,EXTRA CALL,1,OUT
UASC ZAMZAM NA 846R,NWC1,22/11/18 13:30,22/11/18 15:05,23/11/18 12:44,HLC,22/11/2018 07:00,2,OUT
MSC FIAMMETTA UA 846R,USA-STRING,23/11/18 05:00,23/11/18 11:58,24/11/18 05:40,MSC,23/11/2018 19:00,1,IN
MAERSK LINS 1813,NEO BOSSA,23/11/18 13:13,23/11/18 15:55,24/11/18 06:10,MAE,24/11/2018 01:00,2,IN
STELLAR WILLEMSTADT 057N,VITORIA,23/11/18 11:40,24/11/18 12:50,25/11/18 07:45,MSC,24/11/2018 19:00,1,IN
MAERSK LABREA 1816,NEO BOSSA,24/11/18 02:44,24/11/18 14:45,25/11/18 17:38,MAE,25/11/2018 01:00,2,IN
MSC JEONGMIN FI 842A,IPANE-ASAS,24/11/18 18:30,24/11/18 20:10,26/11/18 07:45,MSC,25/11/2018 01:00,3,IN
MSC MELINE MM 846R,WMED,26/11/18 04:00,26/11/18 06:35,27/11/18 07:42,MSC,27/11/2018 01:00,2,IN
MSC ELODIE NA 844A,NWC1,26/11/18 23:00,27/11/18 00:45,27/11/18 17:45,MSC,27/11/2018 19:00,1,IN
MSC AZOV MM 844A,WMED,28/11/18 18:00,28/11/18 19:50,29/11/18 16:35,MSC,28/11/2018 07:00,2,OUT
MAERSK LETICIA 840E,IPANE-ASAS,29/11/18 09:00,29/11/18 12:58,01/12/18 00:20,MAE,29/11/2018 13:00,1,IN
MSC LILY NA 847R,NWC1,29/11/18 09:00,29/11/18 11:25,30/11/18 11:05,MSC,29/11/2018 07:00,3,OUT
FERNÃO DE MAGALHÃES 055S,ALCT2,28/11/18 21:00,29/11/18 19:40,30/11/18 11:40,ALI,28/11/2018 19:00,2,OUT
MSC SORAYA UA 844A,USA-STRING,29/11/18 14:30,30/11/18 16:55,01/12/18 02:40,MSC,26/11/2018 07:00,3,OUT
CONTI LYON UA 847R,USA-STRING,29/11/18 11:00,30/11/18 15:55,01/12/18 10:15,MSC,30/11/2018 19:00,2,IN
STELLAR WILLEMSTADT 058N,VITORIA,30/11/18 19:00,01/12/18 07:15,02/12/18 09:40,MSC,01/12/2018 19:00,1,IN
CMA CGM LITANI 0NS1ON1MA,NEO BOSSA,01/12/18 21:00,01/12/18 23:05,03/12/18 00:41,CMA,02/12/2018 01:00,2,IN
MAERSK LAGUNA 843W,IPANE-ASAS,02/12/18 05:00,02/12/18 08:08,03/12/18 11:15,MAE,02/12/2018 01:00,3,OUT
CMA CGM MAGDALENA 0NS1RS1MA,NEO BOSSA,02/12/18 08:00,02/12/18 12:55,03/12/18 20:11,CMA,01/12/2018 01:00,1,OUT
MSC CADIZ UA 845A,USA-STRING,03/12/18 04:00,03/12/18 05:35,03/12/18 19:55,MSC,03/12/2018 07:00,2,IN
MSC AGADIR MM 847R,WMED,02/12/18 07:30,03/12/18 18:40,04/12/18 15:10,MSC,04/12/2018 01:00,3,IN
CCNI ANDES NA 845A,NWC1,03/12/18 23:12,04/12/18 06:50,05/12/18 03:46,HLC,04/12/2018 19:00,2,IN
MSC ADELAIDE MM 845A,WMED,05/12/18 01:00,05/12/18 03:00,05/12/18 21:08,MSC,05/12/2018 07:00,1,IN
VICENTE PINZON 043S,ALCT2,05/12/18 16:30,05/12/18 18:55,06/12/18 09:40,ALI,05/12/2018 19:00,3,IN
UASC UMM QASR NA 848R,NWC1,06/12/18 01:00,06/12/18 02:45,06/12/18 18:25,HLC,06/12/2018 07:00,2,IN
MAERSK LEON 841E,IPANE-ASAS,06/12/18 07:00,06/12/18 08:45,07/12/18 16:45,MAE,06/12/2018 13:00,1,IN
MAERSK LABERINTO 1813,NEO BOSSA,07/12/18 14:00,07/12/18 15:30,08/12/18 07:20,MAE,08/12/2018 01:00,2,IN
STELLAR WILLEMSTADT 059N,VITORIA,07/12/18 15:00,08/12/18 03:00,09/12/18 03:38,MSC,08/12/2018 19:00,3,IN
MAERSK LINS 1814,NEO BOSSA,08/12/18 09:30,08/12/18 15:25,09/12/18 14:40,MAE,09/12/2018 01:00,2,IN
MOL LONDRINA 0844S,IPANE-ASAS,08/12/18 23:00,09/12/18 02:48,09/12/18 23:55,ONE,09/12/2018 01:00,1,IN
MSC AZOV MM 848R,WMED,09/12/18 21:30,09/12/18 23:05,11/12/18 07:40,MSC,11/12/2018 01:00,2,IN
MSC MARTA UA 846A,USA-STRING,10/12/18 04:00,10/12/18 05:28,10/12/18 19:38,MSC,10/12/2018 07:00,3,IN
MSC BARCELONA 1846S,EXTRA CALL,11/12/18 06:42,11/12/18 14:08,12/12/18 02:40,MSC,EXTRA CALL,3,OUT
MSC AMALFI MM 846A,WMED,11/12/18 20:00,12/12/18 01:10,12/12/18 17:45,MSC,12/12/2018 07:00,2,IN
MSC SORAYA UA 848R,USA-STRING,11/12/18 21:00,12/12/18 02:05,12/12/18 16:40,MSC,07/12/2018 19:00,1,OUT
MONTE SARMIENTO 089S,ALCT2,12/12/18 15:40,12/12/18 20:55,13/12/18 04:25,ALI,12/12/2018 19:00,3,IN
MSC BRUNELLA NA 846A,NWC1,12/12/18 23:30,13/12/18 02:08,14/12/18 01:50,MSC,11/12/2018 19:00,2,OUT
MSC ELODIE NA 849R,NWC1,13/12/18 01:00,13/12/18 02:50,13/12/18 21:40,MSC,13/12/2018 07:00,1,IN
MSC JEONGMIN FI 848R,IPANE-ASAS,12/12/18 06:30,13/12/18 12:02,15/12/18 08:06,MSC,13/12/2018 13:00,3,IN
MSC LUDOVICA UA 849R,USA-STRING,13/12/18 23:30,14/12/18 06:40,15/12/18 03:15,MSC,14/12/2018 19:00,1,IN
MAERSK LAMANAI 1813,NEO BOSSA,14/12/18 14:11,14/12/18 21:05,15/12/18 14:22,MAE,15/12/2018 01:00,2,IN
STELLAR WILLEMSTADT 060N,VITORIA,14/12/18 16:48,15/12/18 05:40,16/12/18 08:50,MSC,15/12/2018 19:00,1,IN
CMA CGM MAGDALENA 0NS1SN1MA,NEO BOSSA,15/12/18 03:00,15/12/18 11:57,16/12/18 10:40,CMA,16/12/2018 01:00,3,IN
CROATIA 0845S,IPANE-ASAS,15/12/18 23:00,16/12/18 00:25,16/12/18 18:38,ONE,16/12/2018 01:00,2,IN
MSC ADELAIDE MM 849R,WMED,17/12/18 02:30,17/12/18 04:00,17/12/18 20:44,MSC,18/12/2018 01:00,2,IN
FERNÃO DE MAGALHÃES 056S,ALCT2,19/12/18 13:30,19/12/18 15:48,20/12/18 02:13,ALI,19/12/2018 19:00,1,IN
UASC AL KHOR NA 847A,NWC1,19/12/18 18:00,19/12/18 20:12,20/12/18 11:22,HLC,18/12/2018 19:00,2,OUT
MSC ORIANE UA 847A,USA-STRING,20/12/18 04:00,20/12/18 07:20,21/12/18 00:41,MSC,17/12/2018 07:00,1,OUT
MAERSK LAGUNA 843E,IPANE-ASAS,20/12/18 06:00,20/12/18 08:30,22/12/18 01:13,MAE,20/12/2018 13:00,3,IN
CCNI ANDES NA 850R,NWC1,20/12/18 03:00,20/12/18 15:00,21/12/18 16:10,HLC,20/12/2018 07:00,2,IN
MSC MARTA UA 850R,USA-STRING,21/12/18 02:00,21/12/18 04:16,22/12/18 12:30,MSC,21/12/2018 19:00,1,IN
MAERSK LOTA 1813,NEO BOSSA,21/12/18 16:00,21/12/18 19:23,22/12/18 13:25,MAE,22/12/2018 01:00,2,IN
LOG-IN RESILIENTE 061N,VITORIA,21/12/18 13:40,22/12/18 05:52,22/12/18 19:18,MSC,22/12/2018 19:00,3,IN
MAERSK LABERINTO 1814,NEO BOSSA,22/12/18 13:00,22/12/18 16:45,23/12/18 12:40,MAE,23/12/2018 01:00,2,IN
STELLAR WILLEMSTADT 061N,VITORIA,21/12/18 16:00,22/12/18 17:55,23/12/18 09:10,MSC,22/12/2018 19:00,1,IN
GRASMERE MAERSK 847W,IPANE-ASAS,22/12/18 20:00,22/12/18 22:48,23/12/18 13:50,MAE,23/12/2018 01:00,3,IN
MSC AMALFI MM 850R,WMED,23/12/18 09:00,23/12/18 11:40,24/12/18 11:15,MSC,25/12/2018 01:00,1,IN
CSAV TRAIGUEN MM 847A,WMED,24/12/18 00:30,24/12/18 02:50,24/12/18 18:05,HLC,19/12/2018 07:00,2,OUT
MSC PALAK NA 848A,NWC1,25/12/18 06:00,25/12/18 07:31,26/12/18 02:02,MSC,25/12/2018 19:00,2,IN
MSC SPAIN XA 850A,EXTRA CALL,26/12/18 06:30,26/12/18 08:05,26/12/18 20:48,MSC,EXTRA CALL,2,OUT
VICENTE PINZON 044S,ALCT2,26/12/18 05:00,26/12/18 11:56,26/12/18 20:00,ALI,26/12/2018 19:00,3,IN
MSC AJACCIO MM 848A,WMED,27/12/18 00:30,27/12/18 03:20,27/12/18 13:43,MSC,26/12/2018 07:00,3,OUT
MOL LONDRINA 0850N,IPANE-ASAS,25/12/18 09:36,27/12/18 02:00,28/12/18 06:46,ONE,27/12/2018 13:00,1,IN
ALDEBARAN 1801,EXTRA CALL,25/12/18 08:00,27/12/18 07:24,28/12/18 07:39,MAE,EXTRA CALL,2,OUT
AGIOS DIMITRIOS UA 851R,USA-STRING,27/12/18 13:18,28/12/18 03:12,29/12/18 07:43,MSC,28/12/2018 19:00,3,IN
LOG-IN RESILIENTE 062N,VITORIA,28/12/18 06:00,28/12/18 11:24,29/12/18 16:43,MSC,29/12/2018 19:00,1,IN
CMA CGM RIO GRANDE 0NS1ZS1MA,NEO BOSSA,28/12/18 12:00,28/12/18 17:05,29/12/18 08:14,CMA,29/12/2018 01:00,2,IN
MAERSK LAMANAI 1814,NEO BOSSA,29/12/18 13:00,29/12/18 14:30,30/12/18 17:13,MAE,30/12/2018 01:00,2,IN
MSC NERISSA UA 848A,USA-STRING,30/12/18 08:15,30/12/18 09:57,31/12/18 03:20,MSC,24/12/2018 07:00,3,OUT
MSC BRUNELLA NA 851R,NWC1,30/12/18 20:30,30/12/18 22:30,31/12/18 18:50,MSC,27/12/2018 07:00,2,OUT
MSC MARIANNA UA 849A,USA-STRING,31/12/18 03:00,31/12/18 06:35,31/12/18 18:11,MSC,31/12/2018 07:00,1,IN
LOGIN AMAZONIA 1649A,VITORIA,31/12/2016 12:30,31/12/2016 14:17,01/01/2017 20:10,MSC,31/12/2016 01:00,1,OUT
MAERSK LABERINTO 1702,SAMBA,01/01/2017 11:00,01/01/2017 16:55,02/01/2017 12:50,MAE,01/01/2017 13:00,2,IN
MAERSK LIRQUEN 647W,IPANE-ASAS,01/01/2017 10:00,01/01/2017 11:39,02/01/2017 18:15,MAE,01/01/2017 01:00,3,OUT
MAERSK LAMANAI 1613,SAMBA,02/01/2017 15:00,02/01/2017 16:40,03/01/2017 05:50,MAE,02/01/2017 19:00,1,IN
CORDELIA 008N,SAS,02/01/2017 14:00,02/01/2017 17:25,03/01/2017 21:45,LOG,02/01/2017 19:00,2,IN
ALDEBARAN 036S,SAS,03/01/2017 10:00,04/01/2017 00:55,04/01/2017 10:45,LOG,03/01/2017 13:00,2,IN
MSC AGADIR SS 651R,SPAIN,02/01/2017 22:00,03/01/2017 12:40,04/01/2017 18:45,MSC,03/01/2017 07:00,1,IN
MSC JEONGMIN FI 651R,IPANE-ASAS,02/01/2017 18:24,03/01/2017 02:00,05/01/2017 07:45,MSC,03/01/2017 07:00,3,IN
MERCOSUL SANTOS 1702,MERCO,03/01/2017 04:25,04/01/2017 14:00,05/01/2017 03:42,MER,06/01/2017 13:00,2,IN
LOG-IN PANTANAL 149,SHUTTLE RI,04/01/2017 06:00,04/01/2017 22:20,05/01/2017 04:14,LOG,05/01/2017 13:00,1,IN
MSC MAUREEN UA 649A,USA-STRING,04/01/2017 07:00,05/01/2017 07:08,06/01/2017 09:15,MSC,02/01/2017 07:00,1,OUT
MSC VIGO MM 652R,WMED,06/01/2017 06:00,06/01/2017 07:24,06/01/2017 19:50,MSC,06/01/2017 19:00,3,IN
MSC KATYAYNI NA 650A,NWC1,06/01/2017 13:00,06/01/2017 15:50,07/01/2017 09:45,MSC,06/01/2017 13:00,1,IN
MSC BARBARA UA 652R,USA-STRING,06/01/2017 00:55,07/01/2017 14:00,08/01/2017 04:42,MSC,07/01/2017 07:00,3,IN
RIO DE JANEIRO 650S,WMED,06/01/2017 21:00,07/01/2017 21:00,08/01/2017 06:12,HAM,07/01/2017 19:00,1,IN
SEBASTIAO CABOTO 037N,ALCT1,07/01/2017 11:35,08/01/2017 13:15,08/01/2017 23:50,ALI,11/01/2017 19:00,1,IN
MOL ABIDJAN 648A,IPANE-ASAS,08/01/2017 00:30,08/01/2017 12:00,09/01/2017 03:12,MOL,08/01/2017 01:00,3,IN
MAERSK LIMA 1702,SAMBA,09/01/2017 00:30,09/01/2017 02:00,09/01/2017 16:50,MAE,08/01/2017 13:00,1,OUT
BOMAR RESOLVE 004N,SAS,09/01/2017 10:00,09/01/2017 14:30,10/01/2017 08:42,LOG,09/01/2017 19:00,3,IN
MAERSK LEON 1701,SAMBA,09/01/2017 18:00,09/01/2017 20:15,10/01/2017 09:45,MAE,09/01/2017 19:00,1,IN
MSC MARIANNA UA 650A,USA-STRING,10/01/2017 18:00,10/01/2017 20:00,11/01/2017 10:15,MSC,09/01/2017 07:00,3,OUT
MSC AMALFI SS 701B,SPAIN,10/01/2017 17:00,10/01/2017 21:15,11/01/2017 11:15,MSC,10/01/2017 07:00,1,OUT
MERCOSUL SUAPE 1702,MERCO,10/01/2017 15:50,11/01/2017 02:40,11/01/2017 17:45,MER,13/01/2017 13:00,2,IN
LOG-IN PANTANAL 150,SHUTTLE RI,11/01/2017 14:00,11/01/2017 15:15,11/01/2017 20:20,LOG,12/01/2017 13:00,1,IN
MSC KATYAYNI NA 701R,NWC1,11/01/2017 04:00,12/01/2017 01:35,12/01/2017 23:13,MSC,12/01/2017 19:00,2,IN
MSC GENESIS NA 651A,NWC1,13/01/2017 04:00,13/01/2017 05:30,13/01/2017 18:12,MSC,13/01/2017 13:00,1,IN
MAERSK LAGUNA 646E,IPANE-ASAS,12/01/2017 20:30,12/01/2017 22:00,14/01/2017 00:40,MAE,10/01/2017 07:00,2,OUT
LOGIN AMAZONIA 1702A,VITORIA,13/01/2017 13:30,13/01/2017 14:50,14/01/2017 15:45,MSC,14/01/2017 01:00,3,IN
MSC BARCELONA MM 701R,WMED,13/01/2017 07:00,13/01/2017 21:34,14/01/2017 17:24,MSC,13/01/2017 19:00,1,IN
BARTOLOMEU DIAS 024N,ALCT1,14/01/2017 10:22,14/01/2017 23:10,15/01/2017 08:45,ALI,18/01/2017 19:00,2,IN
MSC VITA FI 649A,IPANE-ASAS,14/01/2017 20:00,14/01/2017 21:54,16/01/2017 00:20,MSC,15/01/2017 01:00,3,IN
MSC CADIZ MM 651A,WMED,15/01/2017 10:00,15/01/2017 12:00,16/01/2017 05:45,MSC,14/01/2017 19:00,2,OUT
MAERSK LAMANAI 1702,SAMBA,15/01/2017 14:30,15/01/2017 16:22,16/01/2017 11:20,MAE,15/01/2017 13:00,1,OUT
MAERSK LANCO 1613,SAMBA,16/01/2017 15:00,16/01/2017 16:21,17/01/2017 02:40,MAE,16/01/2017 19:00,2,IN
ALDEBARAN 037N,SAS,16/01/2017 10:30,16/01/2017 22:21,17/01/2017 09:35,LOG,16/01/2017 19:00,3,IN
MSC AMALFI SS 701R,SPAIN,16/01/2017 01:48,17/01/2017 00:25,18/01/2017 04:10,MSC,17/01/2017 07:00,1,IN
MAERSK LIRQUEN 647E,IPANE-ASAS,16/01/2017 08:55,17/01/2017 06:35,18/01/2017 08:20,MAE,17/01/2017 07:00,2,IN
LOG-IN PANTANAL 151,SHUTTLE RI,17/01/2017 21:20,18/01/2017 07:15,18/01/2017 18:00,LOG,19/01/2017 13:00,1,IN
MERCOSUL MANAUS 1702,MERCO,17/01/2017 05:30,18/01/2017 10:05,18/01/2017 21:45,MER,20/01/2017 13:00,3,IN
CORDELIA 008S,SAS,18/01/2017 19:42,20/01/2017 03:15,20/01/2017 13:50,LOG,17/01/2017 13:00,3,OUT
MSC GENESIS NA 702R,NWC1,17/01/2017 13:18,20/01/2017 07:50,20/01/2017 18:45,MSC,19/01/2017 19:00,2,IN
RIO DE JANEIRO 650N,WMED,20/01/2017 07:30,20/01/2017 09:34,21/01/2017 01:25,HAM,20/01/2017 19:00,1,IN
LOGIN AMAZONIA 1703A,VITORIA,20/01/2017 11:00,20/01/2017 21:50,21/01/2017 11:23,MSC,21/01/2017 01:00,2,IN
MSC GENEVA UA 651A,USA-STRING,20/01/2017 12:30,20/01/2017 16:45,21/01/2017 11:52,MSC,16/01/2017 07:00,3,OUT
MOL ANCHORAGE 650A,IPANE-ASAS,21/01/2017 22:00,21/01/2017 23:43,23/01/2017 00:35,MOL,22/01/2017 01:00,2,IN
MSC ALICANTE MM 652A,WMED,22/01/2017 13:00,22/01/2017 14:15,23/01/2017 11:09,MSC,21/01/2017 19:00,3,OUT
FERNAO DE MAGALHAES 032N,ALCT1,22/01/2017 00:25,23/01/2017 04:35,23/01/2017 12:23,ALI,25/01/2017 19:00,2,IN
MAERSK LEON 1702,SAMBA,22/01/2017 11:30,22/01/2017 12:59,23/01/2017 11:53,MAE,22/01/2017 13:00,1,IN
MAERSK LABREA 1615,SAMBA,23/01/2017 18:00,23/01/2017 19:40,24/01/2017 11:10,MAE,23/01/2017 19:00,1,IN
MSC MARIANNA UA 702R,USA-STRING,23/01/2017 22:30,24/01/2017 00:05,24/01/2017 16:35,MSC,21/01/2017 07:00,3,OUT
BOMAR RESOLVE 004S,SAS,24/01/2017 11:15,24/01/2017 20:40,25/01/2017 10:46,LOG,24/01/2017 13:00,3,IN
MOL ABIDJAN 702B,IPANE-ASAS,23/01/2017 06:10,24/01/2017 07:05,25/01/2017 16:35,MOL,24/01/2017 07:00,2,IN
MSC ARICA SS 702R,SPAIN,23/01/2017 07:24,24/01/2017 14:27,25/01/2017 17:10,MSC,24/01/2017 07:00,1,IN
MERCOSUL ITAJAI 1704,MERCO,24/01/2017 14:35,25/01/2017 12:40,26/01/2017 04:20,MER,27/01/2017 13:00,3,IN
LOG-IN PANTANAL 152,SHUTTLE RI,24/01/2017 17:30,26/01/2017 14:05,26/01/2017 19:15,LOG,26/01/2017 13:00,2,IN
MSC MARGARITA NA 703R,NWC1,25/01/2017 22:30,26/01/2017 02:45,26/01/2017 20:20,MSC,26/01/2017 19:00,1,IN
MSC LUISA UA 652A,USA-STRING,26/01/2017 12:00,26/01/2017 14:50,27/01/2017 03:15,MSC,23/01/2017 07:00,3,OUT
SAN ALVARO 701,SAE,25/01/2017 03:18,26/01/2017 22:10,27/01/2017 08:35,ALI,27/01/2017 01:00,2,IN
MSC CADIZ MM 703R,WMED,27/01/2017 16:30,27/01/2017 22:10,28/01/2017 09:40,MSC,27/01/2017 19:00,1,IN
LOGIN AMAZONIA 1704A,VITORIA,26/01/2017 08:48,27/01/2017 21:00,28/01/2017 17:40,MSC,28/01/2017 01:00,3,IN
E.R LONDON NA 701A,NWC1,27/01/2017 16:54,28/01/2017 08:55,29/01/2017 00:45,HLC,27/01/2017 13:00,2,OUT
RIO NEGRO 701S,WMED,28/01/2017 06:00,28/01/2017 22:45,29/01/2017 10:08,HAM,27/01/2017 19:00,1,OUT
AMERICO VESPUCIO 032N,ALCT1,29/01/2017 06:00,29/01/2017 07:42,29/01/2017 19:15,ALI,01/02/2017 19:00,2,IN
MSC NAOMI FI 651A,IPANE-ASAS,28/01/2017 20:00,28/01/2017 21:25,30/01/2017 00:20,MSC,29/01/2017 01:00,3,IN
MAERSK LANCO 1702,SAMBA,29/01/2017 09:40,29/01/2017 16:20,30/01/2017 07:44,MAE,29/01/2017 13:00,1,IN
MSC GENEVA UA 703R,USA-STRING,29/01/2017 22:00,29/01/2017 23:30,30/01/2017 14:30,MSC,28/01/2017 07:00,2,OUT
CORDELIA 009N,SAS,31/01/2017 05:45,31/01/2017 07:46,31/01/2017 18:40,LOG,30/01/2017 19:00,3,OUT
ALDEBARAN 037S,SAS,31/01/2017 12:12,31/01/2017 22:20,01/02/2017 17:15,LOG,31/01/2017 13:00,3,IN
MSC AJACCIO SS 703R,SPAIN,31/01/2017 10:00,31/01/2017 12:10,01/02/2017 19:35,MSC,31/01/2017 07:00,1,OUT
MSC VITA FI 703R,IPANE-ASAS,31/01/2017 04:00,31/01/2017 06:12,01/02/2017 20:05,MSC,31/01/2017 07:00,2,IN
LOG-IN PANTANAL 153,SHUTTLE RI,31/01/2017 09:00,02/02/2017 02:08,02/02/2017 14:15,LOG,02/02/2017 13:00,1,IN
MERCOSUL SANTOS 1704,MERCO,31/01/2017 16:00,01/02/2017 19:00,02/02/2017 14:45,MER,03/02/2017 13:00,3,IN
MAERSK LOTA 1701,SAMBA,02/02/2017 05:30,02/02/2017 07:37,02/02/2017 20:40,MAE,30/01/2017 19:00,2,OUT
E.R LONDON NA 704R,NWC1,01/02/2017 11:42,03/02/2017 02:33,03/02/2017 14:15,HLC,02/02/2017 19:00,2,IN
MSC KRYSTAL NA 702A,NWC1,02/02/2017 21:00,03/02/2017 03:40,03/02/2017 14:40,MSC,03/02/2017 13:00,1,IN
LOGIN AMAZONIA 1705A,VITORIA,03/02/2017 05:40,03/02/2017 09:10,04/02/2017 17:40,MSC,04/02/2017 01:00,3,IN
MSC ALICANTE MM 704R,WMED,03/02/2017 09:00,03/02/2017 20:05,04/02/2017 09:15,MSC,03/02/2017 19:00,2,IN
MSC MAUREEN UA 704R,USA-STRING,02/02/2017 18:48,04/02/2017 14:15,05/02/2017 11:15,MSC,04/02/2017 07:00,2,IN
MSC MADRID MM 702A,WMED,04/02/2017 16:28,04/02/2017 22:35,05/02/2017 11:45,MSC,04/02/2017 19:00,1,IN
MSC SARA ELENA FI 652A,IPANE-ASAS,04/02/2017 22:00,04/02/2017 23:55,05/02/2017 21:11,MSC,05/02/2017 01:00,3,IN
MAERSK LABREA 1702,SAMBA,05/02/2017 10:00,05/02/2017 15:55,06/02/2017 04:40,MAE,05/02/2017 13:00,1,IN
VICENTE PINZON 022N,ALCT1,04/02/2017 10:06,06/02/2017 09:55,06/02/2017 21:20,ALI,08/02/2017 19:00,3,IN
BOMAR RESOLVE 005N,SAS,06/02/2017 12:00,06/02/2017 22:45,07/02/2017 09:20,LOG,06/02/2017 19:00,3,IN
CEZANNE 1703,SAMBA,06/02/2017 18:00,06/02/2017 20:05,07/02/2017 10:20,MAE,06/02/2017 19:00,2,IN
MSC MELINE SS 704R,SPAIN,06/02/2017 06:18,07/02/2017 02:20,07/02/2017 23:40,MSC,07/02/2017 07:00,1,IN
MOL ANCHORAGE 704B,IPANE-ASAS,06/02/2017 23:54,07/02/2017 14:00,08/02/2017 14:05,MOL,07/02/2017 07:00,3,IN
MERCOSUL SUAPE 1704,MERCO,08/02/2017 04:00,08/02/2017 05:35,09/02/2017 00:10,MER,10/02/2017 13:00,1,IN
LOG-IN JATOBÁ 126S,SAS,08/02/2017 19:00,08/02/2017 20:15,09/02/2017 09:45,LOG,07/02/2017 13:00,3,OUT
LOG-IN PANTANAL 154,SHUTTLE RI,07/02/2017 22:00,09/02/2017 12:05,09/02/2017 17:32,LOG,09/02/2017 13:00,3,IN
MSC KRYSTAL NA 705R,NWC1,08/02/2017 12:30,09/02/2017 05:20,09/02/2017 18:05,MSC,09/02/2017 19:00,1,IN
MSC VANESSA UA 702A,USA-STRING,10/02/2017 03:00,10/02/2017 04:25,10/02/2017 17:45,MSC,06/02/2017 07:00,1,OUT
SAN ALVARO 703W,SAE,09/02/2017 14:00,10/02/2017 13:50,10/02/2017 20:12,ALI,10/02/2017 01:00,3,IN
RIO BARROW NA 703A,NWC1,10/02/2017 09:06,10/02/2017 21:40,11/02/2017 08:40,HLC,10/02/2017 13:00,3,IN
RIO NEGRO 701N,WMED,10/02/2017 11:42,10/02/2017 23:45,11/02/2017 16:00,HAM,10/02/2017 19:00,1,IN
LOGIN AMAZONIA 1706A,VITORIA,11/02/2017 18:30,11/02/2017 21:20,12/02/2017 10:20,MSC,11/02/2017 01:00,2,OUT
MSC LILY FI 701A,IPANE-ASAS,11/02/2017 20:00,11/02/2017 22:30,12/02/2017 23:50,MSC,12/02/2017 01:00,1,IN
MAERSK LOTA 1702,SAMBA,12/02/2017 14:00,12/02/2017 15:35,13/02/2017 06:15,MAE,12/02/2017 13:00,2,OUT
MSC LUISA UA 705R,USA-STRING,09/02/2017 23:00,13/02/2017 04:50,13/02/2017 17:12,MSC,11/02/2017 07:00,1,IN
PEDRO ALVARES CABRAL 034N,ALCT1,11/02/2017 18:15,13/02/2017 11:23,13/02/2017 18:15,ALI,15/02/2017 19:00,2,IN
ALDEBARAN 038N,SAS,13/02/2017 16:00,13/02/2017 21:20,14/02/2017 08:48,LOG,13/02/2017 19:00,2,IN
MAERSK LABERINTO 1703,SAMBA,13/02/2017 14:50,13/02/2017 23:45,14/02/2017 14:45,MAE,13/02/2017 19:00,1,IN
MSC NAOMI FI 705R,IPANE-ASAS,14/02/2017 02:01,14/02/2017 12:57,15/02/2017 17:35,MSC,14/02/2017 07:00,2,IN
CORDELIA 009S,SAS,14/02/2017 09:00,15/02/2017 08:46,15/02/2017 21:30,LOG,14/02/2017 13:00,3,IN
MSC AGADIR SS 705R,SPAIN,13/02/2017 06:00,15/02/2017 00:25,16/02/2017 02:00,MSC,14/02/2017 07:00,1,IN
MERCOSUL MANAUS 1704,MERCO,14/02/2017 15:00,15/02/2017 21:00,16/02/2017 11:12,MER,17/02/2017 13:00,2,IN
LOG-IN PANTANAL 155,SHUTTLE RI,15/02/2017 06:45,16/02/2017 07:10,16/02/2017 11:48,LOG,16/02/2017 13:00,1,IN
RIO BARROW NA 706R,NWC1,15/02/2017 05:54,16/02/2017 15:30,17/02/2017 04:55,HLC,16/02/2017 19:00,2,IN
MSC MADRID MM 706R,WMED,17/02/2017 00:48,17/02/2017 23:55,18/02/2017 11:43,MSC,17/02/2017 19:00,1,IN
LOGIN AMAZONIA 1707A,VITORIA,16/02/2017 23:30,18/02/2017 00:25,18/02/2017 12:15,MSC,18/02/2017 01:00,2,IN
ALGOL 1702,SAE,16/02/2017 11:54,18/02/2017 01:05,18/02/2017 12:33,MER,17/02/2017 01:00,3,IN
