BERTH_WINDOW,CHEGADA_BARRA,PREVISAO_ATRACACAO,ESCA_DTHR_ATRACACAO,INICIO_OPERACAO,FIM_OPERCACAO,DESATRACACAO,NAVI_NOME,HINA_QTDE_TOTAL_MOV,HINA_CMPH,SERVICO,LINER,BERCO_ATRACACAO
2019/02/15 13:00:00,2019/02/18 04:00:00,2019/02/18 08:00:00,2019/02/18 07:40:00,2019/02/18 14:39:00,2019/02/19 05:50:00,2019/02/19 08:35:00,MSC ORIANE,1080,"36,32",USA-STRING,MSC,BTP 3
2019/03/14 07:00:00,2019/03/14 07:00:00,2019/03/14 10:00:00,2019/03/14 09:30:00,2019/03/14 11:06:00,2019/03/14 23:17:00,2019/03/15 01:45:00,MSC PALAK,1042,"32,79",NWC1,MSC,BTP 2
2019/03/12 01:00:00,2019/03/11 13:13:00,2019/03/11 22:00:00,2019/03/11 22:15:00,2019/03/12 02:01:00,2019/03/13 01:15:00,2019/03/13 05:11:00,MSC VITA,1456,"34,48",WMED,MSC,BTP 2
2018/12/14 07:00:00,2018/12/14 16:48:00,2018/12/15 05:40:00,2018/12/15 05:40:00,2018/12/15 07:37:00,2018/12/16 02:50:00,2018/12/16 08:50:00,STELLAR WILLEMSTADT,1302,"37,59",VITORIA,MSC,BTP 1
2018/12/11 19:00:00,2018/12/12 23:30:00,2018/12/13 02:00:00,2018/12/13 02:08:00,2018/12/13 03:54:00,2018/12/13 22:13:00,2018/12/14 01:50:00,MSC BRUNELLA,1411,"29,93",NWC1,MSC,BTP 2
2018/11/20 01:00:00,2018/11/19 19:00:00,2018/11/19 21:30:00,2018/11/19 20:21:00,2018/11/19 22:27:00,2018/11/20 14:32:00,2018/11/20 15:43:00,MSC VITA,2134,"36,69",WMED,MSC,BTP 2
2018/12/19 19:00:00,2018/12/19 13:30:00,2018/12/19 16:30:00,2018/12/19 15:48:00,2018/12/19 16:59:00,2018/12/19 20:34:00,2018/12/20 02:13:00,FERNÃO DE MAGALHÃES,395,"40,8",ALCT2,ALI,BTP 1
2018/12/12 19:00:00,2018/12/12 15:40:00,2018/12/12 21:30:00,2018/12/12 20:55:00,2018/12/12 22:04:00,2018/12/13 02:20:00,2018/12/13 04:25:00,MONTE SARMIENTO,327,37,ALCT2,ALI,BTP 3
2019/01/18 19:00:00,2019/01/18 00:30:00,2019/01/18 03:00:00,2019/01/18 03:00:00,2019/01/18 04:29:00,2019/01/18 11:46:00,2019/01/18 14:09:00,BUXCOAST,588,"35,89",USA-STRING,MSC,BTP 2
2019/01/16 07:00:00,2019/01/17 09:00:00,2019/01/17 13:15:00,2019/01/17 11:33:00,2019/01/17 14:05:00,2019/01/18 06:05:00,2019/01/18 07:40:00,MSC AGADIR,1503,"36,46",WMED,MSC,BTP 1
2019/02/08 19:00:00,2019/02/08 11:00:00,2019/02/08 12:30:00,2019/02/08 12:30:00,2019/02/08 14:44:00,2019/02/09 00:12:00,2019/02/09 02:10:00,MONTE CERVANTES,687,"31,53",UCLA,MAE,BTP 2
2019/01/22 01:00:00,2019/01/21 22:00:00,2019/01/22 00:30:00,2019/01/21 23:58:00,2019/01/22 02:57:00,2019/01/22 14:38:00,2019/01/22 17:42:00,MSC MELINE,1168,"31,83",WMED,MSC,BTP 2
